Tanggal,Nama_Barang,Jumlah_Barang,Satuan
10/25/2023,Beras SIIP 5 Kg,10,Dus
10/25/2023,Kapal Api Tanpa Gula Sachet,10,Dus
10/26/2023,Minyak Kita Pouch 1 Liter,3,Dus
10/26/2023,Minyak Kita Pouch 2 Liter,2,Dus
10/26/2023,Gula Gmp 1 Kg,1,Dus
10/26/2023,Minyak Kita Botol 2 Liter,3,Dus
10/26/2023,Minyak Rizki Botol 900gr,2,Dus
10/26/2023,Indomie Soto ,5,Dus
10/26/2023,Minyak Kita Pouch 1 Liter,2,Dus
10/27/2023,Minyak Sovia Pouch 1 Liter,50,Dus
10/27/2023,Minyak Sovia Pouch 2 Liter,20,Dus
10/27/2023,Gula Gmp 1 Kg,1,Dus
10/27/2023,Sun Kara,100,Dus
10/27/2023,Minyak Tropikal botol 1 Liter,30,Dus
10/27/2023,Indomie Goreng,20,Dus
10/27/2023,Minyak Kita Botol 2 Liter,50,Dus
10/27/2023,Minyak Bimoli 2 Liter,25,Dus
10/27/2023,Sun Kara,15,Dus
10/28/2023,Minyak Kita Pouch 1 Liter,2,Dus
10/28/2023,Minyak Kita Pouch 2 Liter,1,Dus
10/28/2023,Minyak Sania Pouch 1 Liter,50,Dus
10/28/2023,Minyak Sam Sam 1 Liter,25,Dus
10/28/2023,Indomie Kari Ayam,100,Dus
10/28/2023,Indomie Soto ,50,Dus
10/28/2023,Minyak Kita Pouch 1 Liter,3,Dus
10/28/2023,Minyak Kita Pouch 2 Liter,2,Dus
10/29/2023,Minyak Kita Botol 1 Liter,15,Dus
10/29/2023,Sun Kara,10,Dus
10/29/2023,Minyak Kita Pouch 2 Liter,50,Dus
10/29/2023,Gula Gmp 1 Kg,25,Dus
10/30/2023,Indomie Soto ,20,Dus
10/30/2023,Sun Kara,20,Dus
10/30/2023,Gula Gmp 1 Kg,50,Dus
10/30/2023,Minyak Kita Pouch 1 Liter,2,Dus
10/30/2023,Sun Kara,2,Dus
11/1/2023,Minyak Kita Pouch 1 Liter,30,Dus
11/1/2023,Minyak Kita Pouch 2 Liter ,30,Dus
11/1/2023,Minyak Rizki Botol 900 gr,20,Dus
11/1/2023,Kapal Api Mix sachet,16,Dus
11/1/2023,Indomie Goreng ,50,Dus
11/1/2023,Minyak Kita Pouch 2 Liter ,30,Dus
11/1/2023,Minyak Kita Botol 1 Liter ,20,Dus
11/2/2023,Indomie Ayam Bawang,3,Dus
11/2/2023,Minyak Kita Pouch 1 Liter,2,Dus
11/2/2023,Terigu Segitiga Ekonomis1/2 Kg,3,Dus
11/2/2023,Minyak Sania Pouch 1 Liter,100,Dus
11/2/2023,Minyak Sam Sam 900 Ml,50,Dus
11/2/2023,Indomie Kari Ayam ,35,Dus
11/2/2023,Indomie Soto,50,Dus
11/2/2023,Minyak Kita Pouch 2 Liter ,2,Dus
11/3/2023,Gula Gmp 1 Kg ,2,Dus
11/3/2023,Minyak Kita Botol 1 Liter ,3,Dus
11/3/2023,Minyak Kita Botol 2 Liter,2,Dus
11/3/2023,Minyak Kita Pouch 1 Liter,1,Dus
11/3/2023,Minyak Kita Pouch 2 Liter ,1,Dus
11/3/2023,Minyak Tropikal Botol 2 Liter ,50,Dus
11/3/2023,Minyak Rizki Botol 900 gr,100,Dus
11/3/2023,Indomie Kari Ayam ,50,Dus
11/3/2023,Gula Gmp 1 Kg ,1,Dus
11/4/2023,Minyak Sunco Pouch 2 Liter,31,Dus
11/4/2023,Rosebrand 1 Kg,20,Dus
11/4/2023,Terigu Kunci Biru 1 Kg,10,Dus
11/4/2023,Minyak Sovia Pouch 2 Liter ,25,Dus
11/4/2023,Minyak Sovia Pouch 1 Liter ,30,Dus
11/4/2023,Minyak Bimoli Botol 2 Liter,9,Dus
11/4/2023,Terigu Segitiga Ekonomis1/2 Kg,5,Dus
11/4/2023,Gula Psm 1 Kg,1,Dus
11/5/2023,Minyak Kita Pouch 2 Liter ,15,Dus
11/5/2023,Minyak Kita Botol 1 Liter ,20,Dus
11/5/2023,Gula Gmp 1 Kg ,25,Dus
11/5/2023,Beras SIIP 5 Kg ,2,Dus
11/5/2023,Minyak Kita Pouch 2 Liter ,2,Dus
11/5/2023,Indomie Goreng ,3,Dus
11/5/2023,Indomie Kari Ayam ,30,Dus
11/5/2023,Indomie Soto,50,Dus
11/5/2023,Minyak Kita Botol 1 Liter ,50,Dus
11/5/2023,Minyak Kita Botol 2 Liter,30,Dus
11/5/2023,Minyak Rizki Botol 900 gr,50,Dus
11/6/2023,Minyak Tropikal Botol 2 Liter ,50,Dus
11/6/2023,Minyak Rizki Botol 900 gr,50,Dus
11/6/2023,Indomie Kari Ayam ,60,Dus
11/6/2023,Minyak Kita Botol 1 Liter ,2,Dus
11/6/2023,Minyak Kita Botol 2 Liter,1,Dus
11/6/2023,Sun Kara ,30,Dus
11/6/2023,Gulaku 1 Kg,30,Dus
11/6/2023,Indomie Kari Ayam ,50,Dus
11/6/2023,Abc Susu,25,Dus
11/6/2023,Beras Sania 5 Kg,20,Dus
11/7/2023,Minyak Kita Pouch 1 Liter,3,Dus
11/7/2023,Minyak Kita Pouch 2 Liter ,2,Dus
11/7/2023,Sun Kara ,2,Dus
11/7/2023,Indocafe Mix ,2,Dus
11/7/2023,Gula Gmp 1 Kg ,1,Dus
11/7/2023,Minyak Rizki Botol 900 gr,25,Dus
11/7/2023,Minya Sania Pouch 2 Liter,30,Dus
11/7/2023,Gula Gmp 1 Kg ,25,Dus
11/8/2023,Minyak Sunco Pouch 2 Liter,50,Dus
11/8/2023,Rosebrand 1 Kg,15,Dus
11/8/2023,Terigu Kunci Biru 1 Kg,10,Dus
11/8/2023,Minyak Tropikal Botol 1 Liter,50,Dus
11/8/2023,Minyak Tropikal Botol 2 Liter ,30,Dus
11/8/2023,Minyak Rizki Botol 900 gr,30,Dus
11/8/2023,Minyak Kita Botol 1 Liter ,2,Dus
11/8/2023,Minyak Kita Botol 2 Liter,1,Dus
11/9/2023,Beras SIIP 5 Kg ,3,Dus
11/9/2023,Minyak Kita Pouch 2 Liter ,1,Dus
11/9/2023,Indomie Goreng ,2,Dus
11/9/2023,Terigu Segitiga Ekonomis1/2 Kg,20,Dus
11/9/2023,Minyak Sania Pouch 1 Liter,30,Dus
11/9/2023,Gulaku 1 Kg,15,Dus
11/9/2023,Minyak Kita Botol 1 Liter ,2,Dus
11/9/2023,Minyak Kita Botol 2 Liter,1,Dus
11/10/2023,Beras SIIP 5 Kg ,15,Dus
11/10/2023,Kapal Api tanpa Gula Sachet ,10,Dus
11/10/2023,Sun Kara ,2,Dus
11/10/2023,Minyak Kita Botol 2 Liter,1,Dus
11/10/2023,Abc Mocca,10,Dus
11/10/2023,Kapal Api Mix sachet,10,Dus
11/10/2023,Indomie Soto,2,Dus
11/10/2023,Minyak Sania Pouch 1 Liter,1,Dus
11/11/2023,Rosebrand 1 Kg,20,Dus
11/11/2023,Gula Psm 1 Kg,25,Dus
11/11/2023,Indomie Soto,50,Dus
11/11/2023,Beras Sania 5 Kg,10,Dus
11/11/2023,Minyak Sovia Pouch 2 Liter ,30,Dus
11/11/2023,Minyak Sovia Pouch 1 Liter ,25,Dus
11/11/2023,Kapal Api Tnp gl Sachet besar,20,Dus
11/12/2023,Rosebrand 1 Kg,20,Dus
11/12/2023,Minyak Bimoli Botol 2 Liter,30,Dus
11/12/2023,Rosebrand 1 Kg,10,Dus
11/12/2023,Minyak Rizki Botol 900 gr,30,Dus
11/12/2023,Minya Sania Pouch 2 Liter,20,Dus
11/12/2023,Gula Gmp 1 Kg ,25,Dus
11/12/2023,Sun Kara ,50,Dus
11/12/2023,Gulaku 1 Kg,15,Dus
11/12/2023,Minyak Sania Pouch 1 Liter,20,Dus
11/12/2023,Minyak Sovia Pouch 2 Liter ,30,Dus
11/13/2023,Sun Kara ,50,Dus
11/13/2023,Gulaku 1 Kg,20,Dus
11/13/2023,Indomie Kari Ayam ,10,Dus
11/13/2023,Minyak Kita Pouch 2 Liter ,2,Dus
11/13/2023,Terigu Segitiga Ekonomis 1 Kg,6,Dus
11/13/2023,Minyak Kita Pouch 1 Liter,3,Dus
11/13/2023,Minyak Kita Pouch 2 Liter ,2,Dus
11/13/2023,Minyak Kita Botol 1 Liter ,2,Dus
11/13/2023,Minyak Kita Botol 2 Liter,1,Dus
11/14/2023,Indocafe Mix ,2,Dus
11/14/2023,Gula Gmp 1 Kg ,2,Dus
11/14/2023,Minyak Tropikal Botol 2 Liter ,50,Dus
11/14/2023,Minyak Rizki Botol 900 gr,20,Dus
11/14/2023,Indomie Kari Ayam ,50,Dus
11/14/2023,Minyak Kita Botol 1 Liter ,2,Dus
11/14/2023,Minyak Kita Botol 2 Liter,1,Dus
11/14/2023,Sun Kara ,3,Dus
11/15/2023,Minyak Sunco Pouch 2 Liter,50,Dus
11/15/2023,Rosebrand 1 Kg,20,Dus
11/15/2023,Terigu Kunci Biru 1 Kg,30,Dus
11/15/2023,Indomie Goreng ,15,Dus
11/15/2023,Gula Gmp 1 Kg ,25,Dus
11/15/2023,Sun Kara ,10,Dus
11/15/2023,Gula Gmp 1 Kg ,50,Dus
11/16/2023,Beras SIIP 5 Kg ,2,Dus
11/16/2023,Minyak Kita Pouch 2 Liter ,2,Dus
11/16/2023,Indomie Goreng ,2,Dus
11/16/2023,Rosebrand 1 Kg,2,Dus
11/16/2023,Sun Kara ,1,Dus
11/16/2023,Minyak Sania Pouch 1 Liter,15,Dus
11/16/2023,Gulaku 1 Kg,10,Dus
11/16/2023,Minyak Kita Pouch 2 Liter ,10,Dus
11/16/2023,Minyak Rizki Botol 900 gr,15,Dus
11/17/2023,Minyak Sovia Pouch 2 Liter ,20,Dus
11/17/2023,Minyak Sovia Pouch 1 Liter ,15,Dus
11/17/2023,Minyak Rizki Botol 900 gr,20,Dus
11/17/2023,Minya Sania Pouch 2 Liter,30,Dus
11/17/2023,Gula Gmp 1 Kg ,10,Dus
11/17/2023,Beras Sania 5 Kg,25,Dus
11/17/2023,Beras SIIP 5 Kg ,30,Dus
11/17/2023,Minyak Sania Pouch 1 Liter,30,Dus
11/17/2023,Minyak Sovia Pouch 2 Liter ,25,Dus
11/18/2023,Minyak Tropikal Botol 1 Liter,35,Dus
11/18/2023,Minyak Tropikal Botol 2 Liter ,30,Dus
11/18/2023,Minyak Rizki Botol 900 gr,50,Dus
11/18/2023,Minyak Kita Botol 1 Liter ,2,Dus
11/18/2023,Minyak Kita Botol 2 Liter,1,Dus
11/18/2023,Minyak Kita Pouch 2 Liter ,50,Dus
11/18/2023,Minyak Rizki Botol 900 gr,30,Dus
11/18/2023,Rosebrand 1 Kg,25,Dus
11/18/2023,Gula Psm 1 Kg,10,Dus
11/19/2023,Indomie Soto,30,Dus
11/19/2023,Minyak Tropikal Botol 2 Liter ,25,Dus
11/19/2023,Minyak Rizki Botol 900 gr,50,Dus
11/19/2023,Indomie Kari Ayam ,50,Dus
11/19/2023,Minyak Kita Pouch 2 Liter ,2,Dus
11/19/2023,Terigu Segitiga Ekonomis 1 Kg,4,Dus
11/19/2023,Minyak Kita Pouch 2 Liter ,50,Dus
11/20/2023,Minyak Kita Botol 1 Liter ,30,Dus
11/20/2023,Sun Kara ,50,Dus
11/20/2023,Gulaku 1 Kg,35,Dus
11/20/2023,Indomie Kari Ayam ,20,Dus
11/20/2023,Abc Susu,10,Dus
11/20/2023,Minyak Kita Pouch 1 Liter,2,Dus
11/20/2023,Sun Kara ,2,Dus
11/20/2023,Beras Sania 5 Kg,2,Dus
11/20/2023,Minyak Tropikal Botol 1 Liter,3,Dus
11/20/2023,Indomie Kari Ayam ,30,Dus
11/21/2023,Kapal Api Tnp gl Sachet besar,15,Dus
11/21/2023,Rosebrand 1 Kg,10,Dus
11/21/2023,Gula Gmp 1 Kg ,25,Dus
11/21/2023,Minyak Kita Pouch 1 Liter,30,Dus
11/21/2023,Minyak Kita Pouch 2 Liter ,20,Dus
11/21/2023,Minyak Sania Pouch 1 Liter,30,Dus
11/21/2023,Minyak Kita Pouch 2 Liter ,30,Dus
11/21/2023,Minyak Sania Pouch 1 Liter,20,Dus
11/21/2023,Indocafe Mix ,2,Dus
11/21/2023,Gula Gmp 1 Kg ,2,Dus
11/22/2023,Rosebrand 1 Kg,30,Dus
11/22/2023,Terigu Kunci Biru 1 Kg,15,Dus
11/22/2023,Minyak Tropikal Botol 2 Liter ,50,Dus
11/22/2023,Minyak Rizki Botol 900 gr,50,Dus
11/22/2023,Indomie Kari Ayam ,100,Dus
11/22/2023,Minyak Sovia Pouch 2 Liter ,50,Dus
11/22/2023,Minyak Sovia Pouch 1 Liter ,25,Dus
11/22/2023,Gula Gmp 1 Kg ,50,Dus
11/23/2023,Indomie Goreng ,10,Dus
11/23/2023,Gula Gmp 1 Kg ,15,Dus
11/23/2023,Sun Kara ,10,Dus
11/23/2023,Indomie Ayam Bawang,154,Dus
11/23/2023,Beras SIIP 5 Kg ,25,Dus
11/23/2023,Minyak Kita Botol 1 Liter ,15,Dus
11/23/2023,Minyak Rizki Botol 900 gr,30,Dus
11/23/2023,Minya Sania Pouch 2 Liter,20,Dus
11/23/2023,Gula Gmp 1 Kg ,10,Dus
11/23/2023,Beras Sania 5 Kg,15,Dus
11/24/2023,Indomie Ayam Bawang,3,Dus
11/24/2023,Minyak Kita Pouch 1 Liter,2,Dus
11/24/2023,Terigu Segitiga Ekonomis1/2 Kg,2,Dus
11/24/2023,Minyak Tropikal Botol 1 Liter,50,Dus
11/24/2023,Indomie Goreng ,15,Dus
11/24/2023,Minyak Kita Botol 2 Liter,30,Dus
11/25/2023,0,0,Dus
11/25/2023,0,0,Dus
11/26/2023,0,0,Dus
11/26/2023,0,0,Dus
11/27/2023,Beras SIIP 5 Kg ,15,Dus
11/27/2023,Abc Susu,3,Dus
11/27/2023,Gula Gmp 1 Kg ,3,Dus
11/27/2023,Indomie Soto,15,Dus
11/27/2023,Terigu Segitiga Ekonomis1/2 Kg,10,Dus
11/27/2023,Minyak Tropikal Botol 1 Liter,30,Dus
11/27/2023,Minyak Tropikal Botol 1 Liter,70,Dus
11/27/2023,Minyak Tropikal Botol 2 Liter ,30,Dus
11/27/2023,Minyak Rizki Botol 900 gr,50,Dus
11/28/2023,Minyak Rizki Botol 900 gr,5,Dus
11/28/2023,Kapal Api Mix sachet,3,Dus
11/28/2023,Indomie Soto,5,Dus
11/28/2023,Beras Sania 5 Kg,50,Dus
11/28/2023,Beras SIIP 5 Kg ,50,Dus
11/28/2023,Minyak Sania Pouch 1 Liter,30,Dus
11/28/2023,Minyak Sovia Pouch 2 Liter ,30,Dus
11/29/2023,Minyak Kita Pouch 2 Liter ,2,Dus
11/29/2023,Terigu Segitiga Ekonomis 1 Kg,10,Dus
11/29/2023,Sun Kara ,30,Dus
11/29/2023,Gulaku 1 Kg,20,Dus
11/29/2023,Indomie Kari Ayam ,50,Dus
11/29/2023,Abc Susu,15,Dus
11/30/2023,Minyak Rizki Botol 900 gr,30,Dus
11/30/2023,Minya Sania Pouch 2 Liter,20,Dus
11/30/2023,Gula Gmp 1 Kg ,10,Dus
12/1/2023,Indomie Goreng ,10,Dus
12/1/2023,Indocafe Mix ,5,Dus
12/1/2023,Minyak Kita Pouch 2 Liter ,20,Dus
12/1/2023,Minyak Tropikal Botol 1 Liter,50,Dus
12/1/2023,Minyak Rizki Botol 900 gr,100,Dus
12/1/2023,Minyak Kita Botol 1 Liter ,2,Dus
12/1/2023,Minyak Kita Botol 2 Liter,1,Dus
12/1/2023,Minyak Bimoli Botol 2 Liter,20,Dus
12/1/2023,Beras Sania 5 Kg,10,Dus
12/1/2023,Beras SIIP 5 Kg ,15,Dus
12/1/2023,Abc Susu,5,Dus
12/1/2023,Sun Kara ,30,Dus
12/2/2023,Gula Gmp 1 Kg ,25,Dus
12/2/2023,Minyak Kita Pouch 1 Liter,30,Dus
12/2/2023,Minyak Kita Pouch 2 Liter ,30,Dus
12/2/2023,Minyak Kita Pouch 2 Liter ,50,Dus
12/2/2023,Minyak Kita Botol 1 Liter ,50,Dus
12/2/2023,Indomie Goreng ,100,Dus
12/2/2023,Minyak Rizki Botol 900 gr,50,Dus
12/2/2023,Sun Kara ,50,Dus
12/2/2023,Kapal Api Mix sachet,20,Dus
12/3/2023,Minyak Sunco Pouch 2 Liter,30,Dus
12/3/2023,Minyak Kuncimas 2 Liter,25,Dus
12/3/2023,Sun Kara ,15,Dus
12/3/2023,Minyak Sovia Pouch 1 Liter ,65,Dus
12/3/2023,Minyak Tropikal Botol 1 Liter,50,Dus
12/3/2023,Indomie Kari Ayam ,35,Dus
12/3/2023,Indomie Soto,30,Dus
12/3/2023,Minyak Rizki Botol 900 gr,30,Dus
12/3/2023,Sun Kara ,20,Dus
12/3/2023,Gulaku 1 Kg,10,Dus
12/3/2023,Gula Gmp 1 Kg ,1,Dus
12/3/2023,Minyak Kita Pouch 1 Liter,2,Dus
12/4/2023,Indomie Goreng ,100,Dus
12/4/2023,Indomie Kari Ayam ,100,Dus
12/4/2023,Minyak Rizki Botol 900 gr,50,Dus
12/4/2023,Beras Sania 5 Kg,30,Dus
12/4/2023,Terigu Segitiga Ekonomis 1 Kg,4,Dus
12/4/2023,Minyak Kita Pouch 2 Liter ,2,Dus
12/4/2023,Minyak Kita Pouch 1 Liter,15,Dus
12/4/2023,Minyak Kita Pouch 2 Liter ,15,Dus
12/5/2023,Terigu Cakra Kembar 1 Kg,25,Dus
12/5/2023,Sun Kara ,30,Dus
12/5/2023,Gulaku 1 Kg,20,Dus
12/5/2023,Minyak Kita Botol 1 Liter ,50,Dus
12/5/2023,Minyak Kita Botol 2 Liter,100,Dus
12/5/2023,Kapal Api Tnp gl Sachet besar,2,Dus
12/5/2023,Indocafe Mix ,2,Dus
12/5/2023,Beras SIIP 5 Kg ,30,Dus
12/5/2023,Abc Susu,10,Dus
12/5/2023,Gula Gmp 1 Kg ,50,Dus
12/6/2023,Minyak Kita Botol 1 Liter ,2,Dus
12/6/2023,Sun Kara ,2,Dus
12/6/2023,Minyak Kita Botol 2 Liter,1,Dus
12/6/2023,Minyak Rizki Botol 900 gr,4,Dus
12/6/2023,Indomie Soto,3,Dus
12/6/2023,Sun Kara ,10,Dus
12/6/2023,Gula Gmp 1 Kg ,30,Dus
12/6/2023,Indomie Goreng ,20,Dus
12/7/2023,Gula Gmp 1 Kg ,1,Dus
12/7/2023,Minyak Kuncimas 2 Liter,30,Dus
12/7/2023,Sun Kara ,20,Dus
12/7/2023,Sun Kara ,2,Dus
12/7/2023,Minyak Kita Botol 2 Liter,2,Dus
12/7/2023,Minyak Tropikal Botol 1 Liter,40,Dus
12/7/2023,Minyak Kita Pouch 1 Liter,50,Dus
12/7/2023,Minyak Kita Pouch 2 Liter ,30,Dus
12/7/2023,Minyak Kita Pouch 1 Liter,1,Dus
12/7/2023,Minyak Kita Pouch 2 Liter ,1,Dus
12/8/2023,Gula Gmp 1 Kg ,5,Dus
12/8/2023,Minyak Kita Botol 1 Liter ,25,Dus
12/8/2023,Sun Kara ,10,Dus
12/8/2023,Minyak Kita Botol 2 Liter,15,Dus
12/8/2023,Minyak Kita Pouch 1 Liter,3,Dus
12/8/2023,Minyak Kita Pouch 2 Liter ,2,Dus
12/9/2023,Sun Kara ,30,Dus
12/9/2023,Minyak Tropikal Botol 1 Liter,25,Dus
12/9/2023,Indomie Goreng ,40,Dus
12/9/2023,Minyak Kita Botol 2 Liter,20,Dus
12/9/2023,Abc Mocca,5,Dus
12/9/2023,Kapal Api Mix sachet,10,Dus
12/9/2023,Minyak Sania Pouch 1 Liter,2,Dus
12/9/2023,Minyak Sovia Pouch 2 Liter ,1,Dus
12/10/2023,Minyak Kita Botol 1 Liter ,2,Dus
12/10/2023,Minyak Kita Botol 2 Liter,1,Dus
12/10/2023,Minyak Sania Pouch 1 Liter,35,Dus
12/10/2023,Minyak Sovia Pouch 2 Liter ,20,Dus
12/10/2023,Indomie Ayam Bawang,20,Dus
12/10/2023,Gula Gmp 1 Kg ,1,Dus
12/10/2023,Minyak Tropikal Botol 1 Liter,40,Dus
12/10/2023,Minyak Rizki Botol 900 gr,50,Dus
12/10/2023,Kapal Api Mix sachet,35,Dus
12/10/2023,Minyak Sania Pouch 1 Liter,20,Dus
12/11/2023,Minyak Kita Pouch 2 Liter ,1,Dus
12/11/2023,Sun Kara ,2,Dus
12/11/2023,Indomie Ayam Bawang,50,Dus
12/12/2023,Minyak Kita Pouch 2 Liter ,20,Dus
12/12/2023,Sun Kara ,15,Dus
12/12/2023,Terigu Segitiga Ekonomis 1 Kg,10,Dus
12/12/2023,Indomie Soto,30,Dus
12/12/2023,Minyak Sania Pouch 1 Liter,15,Dus
12/12/2023,Minyak Rizki Botol 900 gr,40,Dus
12/12/2023,Sun Kara ,10,Dus
12/13/2023,Indomie Soto,20,Dus
12/13/2023,Minyak Kita Pouch 2 Liter ,20,Dus
12/13/2023,Minyak Sania Pouch 1 Liter,1,Dus
12/13/2023,Beras Sania 5 Kg,1,Dus
12/13/2023,Minyak Kita Pouch 2 Liter ,20,Dus
12/13/2023,Sun Kara ,20,Dus
12/13/2023,Terigu Segitiga Ekonomis 1 Kg,10,Dus
12/13/2023,Minyak Kita Pouch 2 Liter ,1,Dus
12/13/2023,Minyak Kita Botol 1 Liter ,2,Dus
12/13/2023,Gula Gmp 1 Kg ,1,Dus
12/14/2023,Gula Gmp 1 Kg ,3,Dus
12/14/2023,Minyak Kita Pouch 1 Liter,3,Dus
12/14/2023,Minyak Kita Pouch 2 Liter ,1,Dus
12/14/2023,Indomie Ayam Bawang,30,Dus
12/14/2023,Gula Gmp 1 Kg ,15,Dus
12/14/2023,Minyak Tropikal Botol 1 Liter,50,Dus
12/14/2023,Minyak Kita Pouch 2 Liter ,50,Dus
12/14/2023,Sun Kara ,50,Dus
12/14/2023,Minyak Kita Pouch 2 Liter ,50,Dus
12/14/2023,Minyak Kuncimas 2 Liter,35,Dus
12/14/2023,Sun Kara ,15,Dus
12/14/2023,Minyak Sunco Pouch 2 Liter,15,Dus
12/15/2023,Minyak Rizki Botol 900 gr,15,Dus
12/15/2023,Abc Susu,10,Dus
12/15/2023,Beras SIIP 5 Kg ,20,Dus
12/15/2023,Sun Kara ,10,Dus
12/15/2023,Minyak Kita Pouch 2 Liter ,20,Dus
12/15/2023,Minyak Kita Botol 1 Liter ,25,Dus
12/15/2023,Gula Gmp 1 Kg ,15,Dus
12/16/2023,Minyak Kita Pouch 2 Liter ,1,Dus
12/16/2023,Minyak Kita Botol 1 Liter ,2,Dus
12/16/2023,Indomie Goreng ,20,Dus
12/16/2023,Gula Gmp 1 Kg ,15,Dus
12/16/2023,Minyak Kita Pouch 2 Liter ,10,Dus
12/16/2023,Minyak Tropikal Botol 1 Liter,20,Dus
12/16/2023,Beras Sania 5 Kg,10,Dus
12/16/2023,Beras Sania 5 Kg,50,Dus
12/16/2023,Sun Kara ,30,Dus
12/16/2023,Beras SIIP 5 Kg ,15,Dus
12/16/2023,Minyak Kita Pouch 2 Liter ,20,Dus
12/16/2023,Minyak Kita Botol 1 Liter ,20,Dus
12/17/2023,Indomie Goreng ,30,Dus
12/17/2023,Minyak Kita Pouch 2 Liter ,1,Dus
12/17/2023,Minyak Kita Botol 1 Liter ,2,Dus
12/17/2023,Gula Gmp 1 Kg ,1,Dus
12/17/2023,Rosebrand 1 Kg,40,Dus
12/17/2023,Gula Psm 1 Kg,15,Dus
12/18/2023,Indomie Ayam Bawang,30,Dus
12/18/2023,Terigu Cakra Kembar 1 Kg,15,Dus
12/18/2023,Indomie Soto,2,Dus
12/18/2023,Minyak Sania Pouch 1 Liter,2,Dus
12/18/2023,Beras Sania 5 Kg,3,Dus
12/18/2023,Indomie Goreng ,20,Dus
12/18/2023,Indocafe Mix ,10,Dus
12/18/2023,Minyak Tropikal Botol 1 Liter,50,Dus
12/18/2023,Minyak Tropikal Botol 2 Liter ,20,Dus
12/19/2023,Beras Sania 5 Kg,10,Dus
12/19/2023,Minyak Kita Pouch 1 Liter,20,Dus
12/19/2023,Minyak Kita Pouch 2 Liter ,20,Dus
12/19/2023,Indomie Goreng ,100,Dus
12/19/2023,Indomie Kari Ayam ,100,Dus
12/20/2023,Minyak Kita Pouch 1 Liter,2,Dus
12/20/2023,Minyak Kita Pouch 2 Liter ,1,Dus
12/20/2023,Rosebrand 1 Kg,25,Dus
12/20/2023,Gula Psm 1 Kg,10,Dus
12/20/2023,Indomie Soto,20,Dus
12/20/2023,Minyak Kita Botol 1 Liter ,10,Dus
12/20/2023,Indomie Goreng ,10,Dus
12/20/2023,Minyak Kita Pouch 2 Liter ,10,Dus
12/21/2023,Minyak Kita Pouch 2 Liter ,25,Dus
12/21/2023,Indomie Ayam Bawang,20,Dus
